보호센터명,관리기관명,구조대상동물,보호센터주소,위도,경도
대전동물보호센터,대전광역시 동구,개+고양이+기타,대전광역시 유성구 금남구즉로 1234 (금고동) 대전광역시 동물보호센터,36.36299016,127.2868536
대전동물보호센터,대전광역시 중구,개+고양이+기타,대전광역시 유성구 금남구즉로 1234 (금고동) 대전광역시 동물보호센터,36.36299016,127.2868536
대전동물보호센터,대전광역시 서구,개+고양이+기타,대전광역시 유성구 금남구즉로 1234 (금고동) 대전광역시 동물보호센터,36.36299016,127.2868536
대전동물보호센터,대전광역시 유성구,개+고양이+기타,대전광역시 유성구 금남구즉로 1234 (금고동) 대전광역시 동물보호센터,36.36299016,127.2868536
대전동물보호센터,대전광역시 대덕구,개+고양이+기타,대전광역시 유성구 금남구즉로 1234 (금고동) 대전광역시 동물보호센터,36.36299016,127.2868536
대한동물사랑협회,전라남도 순천시,개+고양이,전라남도 순천시 상사면 민속마을길 978 (상사면) .,34.92693218,127.4099236
동물보호관리협회,부산광역시 부산진구,개+고양이+기타,부산광역시 강서구 가락대로1283번길 25-2 (봉림동) ,35.17892262,128.8997581
동부동물병원,전라북도 전주시,개+고양이+기타,전라북도 전주시 완산구 경원동1가 3-10,35.81705949,127.1480746
동해시유기동물보호소,강원도 동해시,개+고양이,강원도 동해시 대동로 159-13 (송정동  동해시유기동물보호소) ,37.48499726,129.1190688
동행동물병원,대구광역시 달성군,개+고양이,대구광역시 달서구 진천로 117 (대천동) 117 118 호,,
둔촌동물병원,서울특별시 강동구,개+고양이,서울특별시 강동구 양재대로 1385 (성내동) 둔촌동물병원,37.52982,127.13659
디아크동물종합병원,서울특별시 동작구,개+고양이+기타,서울특별시 동작구 장승배기로27길 18 (노량진동) ,37.51168749,126.9390383
리틀쥬동물의료원,울산광역시 남구,개+고양이,울산광역시 남구 봉월로 104 (신정동) ,35.54173349,129.3063088
마산유기동물보호소,경상남도 창원시 마산합포회원구,개,경상남도 창원시 마산합포구 진북면 지산2길 139-112 226-19,35.11942133,128.4682651
마포구청,서울특별시 마포구,개+고양이+토끼+기니피그+페럿+햄스터,서울특별시 마포구 월드컵로 212 (성산동  마포구청) 8층 경제진흥과,37.5663123,126.9020797
만하농장,경상남도 의령군,개,경상남도 의령군 의령읍 남강로 485-75  ,35.29648256,128.2807514
멘토동물병원,대구광역시 수성구,개+고양이,대구광역시 수성구 용학로 294 (범물동) 2층,,
목포시유기동물보호소,전라남도 목포시,개+고양이,전라남도 무안군 삼향읍 석매길 21-3  ,34.85340983,126.4301044
무안군유기동물보호소,전라남도 무안군,개+고양이+기타,전라남도 무안군 무안읍 면주길 99  ,35.00792164,126.4831568
무주군,전라북도 무주군,개+고양이+기타,전라북도 무주군 적상면 구억로 110-27  ,35.95136321,127.6580075
미래펫동물병원,울산광역시 남구,개+고양이,울산광역시 남구 중앙로 218-1 (신정동) ,35.54041631,129.3122495
민트동물병원,서울특별시 용산구,,서울특별시 용산구 원효로 51 (산천동  삼성테마트) 119호,,
밀양시동물보호센터,경상남도 밀양시,개+고양이,경상남도 밀양시 삼랑진읍 천태로 472 (삼랑진읍) ,35.40768428,128.8797702
박영재동물병원,전라북도 전주시,개+고양이+기타,전라북도 전주시 완산구 전주천서로 111 (서서학동) ,35.81008,127.1491823
박창석동물병원,서울특별시 마포구,개+고양이+토끼+페럿+햄스터+기니피그,서울특별시 마포구 도화길 42 (도화동) ,37.54151715,126.9503645
반려동물 입양센터,경상북도 구미시,개,경상북도 구미시 인동22길 43-4 (진평동) ,,
반려동물보호센터,충청북도 청주시,개+고양이+기타,충청북도 청주시 흥덕구 강내면 서부로 411-55 (강내면) ,36.59033658,127.3654191
베스트동물병원,인천광역시 강화군,개+고양이+염소+기타축종,인천광역시 강화군 강화읍 강화대로 217 (강화읍  린나이보일러) ,37.73968128,126.5054334
보성유기동물보호센터,전라남도 보성군,개,전라남도 보성군 노동면 노동천동길 221  ,34.830044,127.0653062
봉화군유기동물보호소,경상북도 봉화군,개,경상북도 봉화군 봉성면 농업인길 24 (봉성면) 봉화군농업기술센터,36.90366817,128.7725377
부안군 동물보호센터,전라북도 부안군,개+고양이,전라북도 부안군 주산면 주산로 369  부안군 동물보호센터,35.66589508,126.7358574
부천시수의사회,경기도 부천시,개,경기도 부천시 길주로 660 (춘의동) ,37.505128,126.81621
불갑동물임시보호소,전라남도 영광군,개+고양이,전라남도 영광군 불갑면 함영로 2758 ,0,0
사랑동물병원,울산광역시 남구,개+고양이,울산광역시 남구 중앙로 165-1 (신정동) ,35.53583181,129.3134896
사천시 동물보호센터,경상남도 사천시,개+고양이,경상남도 사천시 용현면 진삼로 902  사천시농업기술센터,,
산타클라라동물병원,울산광역시 중구,개+고양이,울산광역시 중구 다운로 1 (다운동) ,,
삼산종합동물병원,인천광역시 부평구,개+고양이+기타동물,인천광역시 부평구 체육관로 40 (삼산동) ,37.50824023,126.7361704
삼척시동물보호센터,강원도 삼척시,개+고양이,강원도 삼척시 미로면 동안로 86-45  ,37.35929715,129.219577
서산시 동물보호센터,충청남도 서산시,개+고양이,충청남도 서산시 인지면 무학재1길 99  ,,
서신동물병원,전라북도 전주시,개+고양이+기타,전라북도 전주시 완산구 서신동 831-4,35.83263985,127.1097103
서울동물복지지원센터,서울특별시 광진구,개+고양이,서울특별시 마포구 매봉산로 31 (상암동) 에스플렉스 지하 1층,,
서천군유기동물보호소,충청남도 서천군,개,충청남도 서천군 마산면 한마로 1189-19 ,36.17952471,126.7723877
서초동물사랑센터,서울특별시 서초구,개,서울특별시 서초구 양재천로19길 22 (양재동  숨빌딩) 서초동물사랑센터,37.47637163,127.038165
세림동물병원,인천광역시 부평구,개+고양이+기타동물,인천광역시 부평구 원적로 392 (산곡동) ,37.50368959,126.7099738
세인트동물병원,대구광역시 수성구,개+고양이,대구광역시 수성구 청호로 484 (만촌동) ,,
세종유기동물보호센터,세종특별자치시,개+기타,세종특별자치시  전동면 미륵당1길 188 (전동면) ,36.67369653,127.2211578
속초시유기동물보호소,강원도 속초시,개+고양이+기타,강원도 속초시 하도문길 103 (대포동) ,38.16882282,128.5979644
수원시 동물보호센터,경기도 수원시,개+고양이+기타,경기도 수원시 영통구 광교호수로 234 (하동  수원시 동물보호센터) 하동 40-10,37.28501978,127.0786985
순창유기동물보호소,전라북도 순창군,개,전라북도 순창군 구림면 삭골길 56-1  ,,
순천시유기동물보호소,전라남도 순천시,개+고양이,전라남도 순천시 승주읍 승주로 628 (승주읍  농업기술센터) 순천시유기동물보호소,35.01599605,127.3790135
스마일동물병원,울산광역시 남구,개+고양이,울산광역시 남구 대학로 112 (무거동) ,35.54470629,129.2608753
스타캣츠,경기도 안산시,고양이,경기도 안산시 단원구 한양대학로 208 (고잔동) 2층 스타캣츠,37.31357638,126.8367534
시흥동물누리보호센터,경기도 시흥시,개+고양이+햄스터+기니피그+페럿,경기도 시흥시 뒷방울길 218 (정왕동) ,37.37442763,126.7430802
신안군유기동물보호소,전라남도 신안군,개+고양이+기타,전라남도 무안군 삼향읍 석매길 21-3  ,34.85339563,126.4301179
신영재동물병원,인천광역시 계양구,개+고양이+기타,인천광역시 계양구 장제로 923 (병방동) ,37.54885786,126.7413769
아산동물복지지원센터,충청남도 아산시,개,충청남도 아산시 환경공원로 158 (배미동) ,,
아프리카동물병원,전라북도 전주시,개+고양이+기타,전라북도 전주시 덕진구 인후동1가 928-1,35.83746828,127.156647
양구군유기동물보호소,강원도 양구군,개,강원도 양구군 국토정중앙면 삼팔선로 680  유기동물보호소,38.051083,128.046919
양산시 동물보호센터,경상남도 양산시,개+고양이,경상남도 양산시 동면 석산리 392 양산시농업기술센터,35.32409,129.03417
양양군유기동물보호소,강원도 양양군,개+고양이,강원도 양양군 손양면 동막골길 115-35  .,38.02056347,128.6433422
양평군유기동물보호소,경기도 양평군,개+고양이,경기도 양평군 양평읍 농업기술센터길 59-1  ,37.511199,127.513329
에이스동물메디컬센터,경기도 의정부시,고양이,경기도 의정부시 태평로 102-1 (의정부동) ,,
열린동물병원,서울특별시 용산구,,서울특별시 용산구 원효로2가 84-10,,
영덕유기동물보호센터,경상북도 영덕군,개+고양이,경상북도 영덕군 영덕읍 구미2길 14-1 (영덕읍) 영덕군유기동물보호센터,36.43572989,129.3576205
영양군유기동물보호소,경상북도 영양군,개+고양이+기타,경상북도 영양군 영양읍 달구터길 85  ,36.59423658,129.064141
영주시 동물보호센터,경상북도 영주시,개,경상북도 영주시 장수면 반구로 143 [*미고시] 영주시동물보호센터,36.76657899,128.6008911
영천유기동물보호센터,경상북도 영천시,개+고양이+기타,경상북도 영천시 천문로 622-13 (오미동  영천시농업기술센터) ,35.99066164,128.9264413
예천군유기동물보호소,경상북도 예천군,개+기타,경상북도 예천군 예천읍 충효로 632-84 (예천읍  유기동물보호소) ,36.67484914,128.4762485
완주군유기동물보호소,전라북도 완주군,개,전라북도 완주군 용진읍 순지2길 187-6  ,,
용인시 동물보호센터,경기도 용인시,개+고양이,경기도 용인시 처인구 중부대로 1074-1 (삼가동) 용인시 동물보호센터,37.24331386,127.1593353
우리동물병원,인천광역시 서구,,인천광역시 서구 서곶로 349 (연희동) 우리동물병원,,
우성동물병원,경상북도 군위군,개,경상북도 군위군 군위읍 중앙1길 17 (군위읍) ,36.23058137,128.566102
울릉군농업기술센터,경상북도 울릉군,개+고양이+기타,경상북도 울릉군 울릉읍 신리길 68 (울릉읍  울릉도축장) ,37.46005425,130.8737703
울산유기동물보호센터,울산광역시 중구,개+고양이,울산광역시 울주군 온양읍 화산발리로 543 (온양읍) ,35.39089052,129.2860017
울산유기동물보호센터,울산광역시 남구,개+고양이,울산광역시 울주군 온양읍 화산발리로 543 (온양읍) ,35.39089052,129.2860017
울산유기동물보호센터,울산광역시 북구,개+고양이,울산광역시 울주군 온양읍 화산발리로 543  ,35.41029166,129.2885117
울진군동물보호센터,경상북도 울진군,개,경상북도 울진군 울진읍 대흥신림로 916-37  ,37.00342985,129.3605922
원주유기동물보호센터,강원도 원주시,개+고양이+기타,강원도 원주시 호저면 칠봉로 110-6 ,37.41631802,127.9128607
원효동물병원,서울특별시 용산구,,서울특별시 용산구 원효로2가 30-4,,
월드동물병원,충청남도 금산군,개+고양이,충청남도 금산군 금산읍 비단로 102  103호,36.10837555,127.4841743
웰케어 동물병원,서울특별시 마포구,개+고양이+토끼+기니피그+페럿+햄스터,서울특별시 마포구 월드컵북로 27 (서교동  이화빌딩) 서교동447-2,37.55687504,126.9190887
위더스 동물보호센터,경기도 이천시,개+고양이+기타동물,경기도 여주시 여양2로 40 (천송동) ,37.29723471,127.5759398
유기견임시보호소,강원도 고성군,개,강원도 고성군 간성읍 꽃내마루길 53-49  ,38.349676,128.434384
유기동물및관리협회,경상남도 김해시,개+고양이+기타,부산광역시 강서구 가락대로1283번길 25-2 (봉림동) (사)유기동물및보호관리협회,35.17892388,128.8997599
유기동물보호센터,경상북도 안동시,개+고양이,경상북도 안동시 서후면 풍산태사로 3252-29 (서후면) ,36.6359899,128.6838313
유기동물보호소,전라남도 여수시,개+다친고양이,전라남도 여수시 주동1길 32 (주삼동  여수시농업기술센터) 여수시 유기동물보호소,34.7875755,127.6630416
유기동물임시보호센터,전라남도 완도군,개,전라남도 완도군 신지면 신지로6번길 23-89 (신지면) ,34.331873,126.7812261
이상윤동물병원,서울특별시 용산구,,서울특별시 용산구 이촌동 300-23,,
이태원동물병원,서울특별시 용산구,,서울특별시 용산구 이태원동 531,,
인월동물병원,전라북도 남원시,,전라북도 남원시 인월면 인월로 64  ,,
인제군유기동물보호소,강원도 인제군,개+고양이,강원도 인제군 인제읍 비봉로44번길 105  ,,
인천광역시수의사회,인천광역시 미추홀구,개+고양이+기타,인천광역시 계양구 다남로165번길 56 (다남동  유기동물보호소) ,37.56623909,126.7196424
인천광역시수의사회,인천광역시 연수구,개+고양이+기타,인천광역시 계양구 다남로165번길 56 (다남동  유기동물보호소) ,37.56623909,126.7196424
인천광역시수의사회,인천광역시 남동구,개+고양이+기타,인천광역시 계양구 다남로165번길 56 (다남동  유기동물보호소) ,37.56623909,126.7196424
인천수의사회유기동물,인천광역시 옹진군,개+고양이,인천광역시 계양구 다남로165번길 56 (다남동) 인천수의사회유기동물보호소,37.57118817,126.7284138
장성군동물보호센터,전라남도 장성군,개+고양이,전라남도 장성군 삼서면 대중길 29-27  ,35.241536,126.610565
장흥군 동물보호센터,전라남도 장흥군,개,전라남도 장흥군 안양면 우드랜드길 288 (안양면  남도국제교육원) 축산사업소,34.66765023,126.9446106
점곡보호소,경상북도 청송군,개,경상북도 청송군 현동면 청송로 3128-141  ,36.3038707,129.0548932
정읍시 동물보호소,전라북도 정읍시,개+고양이+기타,전라북도 정읍시 2산단5길 37-1 (하북동) ,35.59170619,126.8739227
정철동물병원,울산광역시 북구,개+고양이,울산광역시 북구 진장17길 11 (진장동) 정철동물병원,35.56203312,129.3553069
제주 동물보호센터,제주특별자치도,개+고양이,제주특별자치도 제주시 첨단동길 184-14 (용강동) ,33.4555329,126.5892131
제주동물보호센터,제주특별자치도 제주시,,제주특별자치도 제주시 첨단동길 184-14 (용강동) ,,
제주동물보호센터,제주특별자치도 서귀포시,,제주특별자치도 제주시 첨단동길 184-14 (용강동) ,,
제주에니멀119(주),제주특별자치도 제주시,개+고양이+기타,제주특별자치도 제주시 아봉로 503-1 (용강동) ,35,128
제천시 동물보호센터,충청북도 제천시,개+고양이+기타,충청북도 제천시 금성면 적성로8길 51 (금성면) ,37.08456572,128.2150498
조재진동물병원,인천광역시 부평구,개+고양이+기타동물,인천광역시 부평구 원적로 419 (산곡동) ,37.50403046,126.7117699
종합축산,경상북도 문경시,개+고양이+기타,경상북도 문경시 중앙로 170 (흥덕동) 종합축산,36.59969062,128.2025057
주동물병원,울산광역시 남구,개+고양이,울산광역시 남구 돋질로 385-1 (삼산동) ,35.54365433,129.3471257
증평동물보호소,충청북도 증평군,개+고양이,충청북도 증평군 증평읍 삼보로 40-51  ,,
"진도군임시보호소	",전라남도 진도군,개+기타,전라남도 진도군 진도읍 성죽골길 30 (진도읍) 진도개축산과,34.48236177,126.2785747
진안군유기동물보호소,전라북도 진안군,개+고양이,전라북도 진안군 진안읍 예리길 36  .,35.78067925,127.4647789
진주시유기동물보호소,경상남도 진주시,개,경상남도 진주시 집현면 신당길207번길 22 (집현면  지역농업개발시설) ,35.22708657,128.1218728
진해유기동물보호소,경상남도 창원시 진해구,개,경상남도 창원시 진해구 웅천로 218 (성내동) 도시농업과 부지 내,35.11399946,128.7543117
짱구네동물병원,인천광역시 부평구,개+고양이+기타동물,인천광역시 부평구 평천로 356 (갈산동) ,37.51760959,126.7296976
차오름동물병원,서울특별시 용산구,,서울특별시 용산구 산천동 93-1,,
창원유기동물보호소,경상남도 창원시 의창성산구,개,경상남도 창원시 의창구 창이대로 71 (명서동  창원시농업기술센터) 축산과,35.2382793,128.6456003
천안시유기동물보호소,충청남도 천안시,개+고양이+기타,충청남도 천안시 동남구 충절로 437 (삼룡동) 문의전화 : 입양(010-5913-5119)  구조(010-4999-6119),36.78328561,127.1715499
철원군,강원도 철원군,개,강원도 철원군 동송읍 장흥로 311  ,38.2034,127.250238
청도군동물보호소,경상북도 청도군,개,경상북도 청도군 화양읍 청화3길 10  청도군 농업기술센터,35.64929119,128.7343704
청양보호소,충청남도 청양군,개+고양이,충청남도 청양군 대치면 청산로 446-17 (대치면) ,36.47119314,126.8313967
청원동물병원,전라북도 남원시,개+고양이,전라북도 남원시 죽항동 278번지,35.40757843,127.3845533
최동물병원,충청남도 태안군,개,충청남도 태안군 태안읍 남문리 504-6,36.74700386,126.2985373
최상오동물병원,충청북도 보은군,개+고양이+기타,충청북도 보은군 보은읍 보은로 119-1 (보은읍) ,36.48482866,127.7176563
최종주동물병원,충청북도 영동군,개+고양이+기타,충청북도 영동군 영동읍 계산로 54 (영동읍  최종주동물병원) ,36.17262288,127.7823337
충주시동물보호센터,충청북도 충주시,개,충청북도 충주시 중앙탑면 일곱실길 70 (중앙탑면) ,37.00836067,127.8497525
쿨펫 홈플러스 북구점,울산광역시 북구,개+고양이,울산광역시 북구 신답로 26 (상안동  홈플러스) 쿨펫동물병원 홈플러스 북구점,35.63004336,129.3448804
통영시동물보호센터,경상남도 통영시,개+고양이,경상남도 통영시 광도면 전두1길 9-8  ,34.90437747,128.4044199
펫토이동물병원,서울특별시 용산구,,서울특별시 용산구 한남동 653-26,,
평창군유기동물보호소,강원도 평창군,개,강원도 평창군 진부면 청송로 61 ,37.63676996,128.5533751
푸른곡성21동물보호소,전라남도 곡성군,개+고양이,전라남도 곡성군 곡성읍 군청로 50  보호소 주소 : 전남 곡성군 곡성읍 구원리 888,35.28202876,127.2919654
프렌즈동물병원,전라북도 전주시,개+고양이+기타,전라북도 전주시 완산구 삼천동1가 592-1,35.79634999,127.1223574
하나동물병원,전라북도 전주시,개+고양이+기타,전라북도 전주시 덕진구 덕진동2가 송천중앙로 17 (덕진동2가) ,35.84885385,127.1185451
하나동물병원,전라북도 남원시,개+고양이,전라북도 남원시 왕정동 67 ,,
하남동물병원,경기도 하남시,개+고양이+햄스터,경기도 하남시 신평로 37 (덕풍동) 하남동물병원,37.53715599,127.2040478
하동군유기동물보호소,경상남도 하동군,개+고양이+기타,경상남도 하동군 적량면 한옥정길 90 (적량면) 유기동물보호소,35.07884862,127.7691213
하얀비둘기,부산광역시 영도구,개+고양이+기타동물,부산광역시 강서구 제도로 726 (강동동) ,35.17749907,128.9170233
학교동물임시보호센터,전라남도 함평군,개+기타,전라남도 함평군 학교면 송산길 84 (학교면) 월산리 806-1 ,35.045491,126.5389901
한국동물구조관리협회,서울특별시 광진구,개+고양이+기타,경기도 양주시 남면 감악산로 63-37 (남면) ,37.86989401,126.9831154
한국동물구조관리협회,서울특별시 서대문구,개+고양이+기타,경기도 양주시 남면 감악산로 63-37  ,37.86989401,126.9831154
한국동물구조관리협회,서울특별시 영등포구,,경기도 양주시 남면 감악산로 63-37 ,,
한국동물구조관리협회,서울특별시 송파구,개+고양이+기타,경기도 양주시 남면 감악산로 63-37 (남면) ,37.87011581,126.9835431
한국동물구조관리협회,서울특별시 강동구,개+고양이+기타,경기도 양주시 남면 감악산로 63-37  (사)한국동물구조관리협회,37.87011581,126.9835431
한국동물구조관리협회,경기도 구리시,개+고양이+기타,경기도 양주시 남면 감악산로 63-37  ,37.87011528,126.9835446
한국동물구조관리협회,경기도 하남시,개,경기도 양주시 남면 감악산로 63-37  한국동물구조관리협회,,
한국동물구조관리협회,경기도 파주시,개+고양이,경기도 양주시 남면 감악산로 63-37  ,37.87019143,126.9830998
한국동물구조관리협회,경기도 연천군,개+기타,경기도 양주시 남면 감악산로 63-37 ,37.87011581,126.9835431
한국동물구조관리협회,경기도 포천시,개+고양이+기타,경기도 양주시 남면 감악산로 63-37  ,37.87048366,126.9836405
한국야생동물보호협회,경기도 안산시,개+기타,경기도 안산시 상록구 청곡길 50 (부곡동) 안산시 상록구 부곡동 231-5,37.34010774,126.869974
한국야생동물보호협회,경기도 의왕시,개+고양이+기타,경기도 안산시 상록구 청곡길 50 (부곡동) ,,
한남동물병원,서울특별시 용산구,,서울특별시 용산구 한남동 642-4,,
함안군유기동물보호소,경상남도 함안군,개,경상남도 함안군 가야읍 함안대로 755 ,35.29351398,128.3989172
함양군위탁보호소,경상남도 함양군,개,경상남도 함양군 함양읍 함양남서로 996-76 (함양읍  농업기술센터) ,35.50759284,127.7413708
해남유기동물보호센터,전라남도 해남군,개,전라남도 해남군 해남읍 용머리길 14-37  ,34.56485158,126.5874453
행복한동물병원,전라북도 전주시,개+고양이+기타,전라북도 전주시 덕진구 인후동1가 806-6,35.83746828,127.156647
홍익동물병원,서울특별시 마포구,개+고양이+토끼+기니피그+페럿+햄스터,서울특별시 마포구 독막로 45 (합정동) ,37.54809911,126.9183935
홍천군유기동물보호소,강원도 홍천군,개+고양이,강원도 홍천군 화촌면 둔덕이길 68 (화촌면  홍천군유기동물보호센터) ,37.75509094,127.9474703
화순군유기동물보호소,전라남도 화순군,개,전라남도 화순군 한천면 덕음로 115 (한천면) ,34.98535135,126.9989227
화천군농업기술센터,강원도 화천군,개,강원도 화천군 상서면 영서로 6387-9  화천농업기술센터,38.116592,127.681913
효자동물병원,전라북도 전주시,개+고양이+기타,전라북도 전주시 완산구 백제대로 121 (효자동1가) ,35.80377748,127.1237808
