(사)대구시수의사회,053-764-3708,(사)대구시수의사회,대구광역시 중구,개+고양이+기타,대구광역시 북구 호국로 229 (서변동) 대구경북수의사회관 6층,35.922355665,128.599034473,
(사)하얀비둘기,051-293-9779,(사)하얀비둘기,부산광역시 강서구,개+고양이+기타,부산광역시 강서구 제도로 726 (강동동) ,35.177499068,128.917023278,
21세기동물병원,02-749-6750,21세기동물병원,서울특별시 용산구,,서울특별시 용산구 보광동 259-1,,,
21세기동물병원,063-251-1015,21세기동물병원,전라북도 전주시,개+고양이+기타,전라북도 전주시 덕진구 송천동1가 626-42,35.864905177,127.11560611,
24시아이동물메디컬,032-677-5262,24시아이동물메디컬,경기도 부천시,개+고양이+등,경기도 부천시 소사로 779 (원종동) 201호,37.525807,126.804569,
C.T종합동물병원,02-6375-0075,C.T종합동물병원,서울특별시 마포구,개+고양이+토끼+기니피그+페럿+햄스터,서울특별시 마포구 만리재로 74 (신공덕동  신공덕2차삼성래미안) 삼성 래미안상가 117호,37.546859734,126.958384698,
GD동물병원,02-429-8822,GD동물병원,서울특별시 강동구,개+고양이,서울특별시 강동구 상일로 13 (상일동) 1~2층 GD동물병원,37.548220,127.173120,
가나동물병원,032-665-0075,가나동물병원,경기도 부천시,개+고양이+등,경기도 부천시 경인로 72 (송내동) ,37.483532,126.763174,
가정동물병원,032-575-0833,가정동물병원,인천광역시 서구,개+고양이+기타반려동물,인천광역시 서구 가정로 346 (가정동) ,37.515665283,126.673021837,
가평군유기동물보호소,031-580-4788,가평군유기동물보호소,경기도 가평군,개+고양이+기타,경기도 가평군 가평읍 아랫마장길 59 (가평읍  농업기술센터) 가평 유기동물 보호소(10:00~18:00),37.845716996,127.499336319,
강남동물병원,052-271-0075,강남동물병원,울산광역시 남구,개+고양이,울산광역시 남구 돋질로 232 (달동) 1층,35.542604193,129.330474173,
강동구청 반려동물팀 ,02-3425-6015,강동구청 반려동물팀 ,서울특별시 강동구,,서울특별시 강동구 성내로 25 (성내동  강동구청) 강동구청 ,,,
강동리본센터(reborn),070-4163-7350,강동리본센터(reborn),서울특별시 강동구,개+고양이,서울특별시 강동구 양재대로81길 73 (성내동) ,37.523797,127.130260,
강릉시 동물사랑센터,033-641-7515,강릉시 동물사랑센터,강원특별자치도 강릉시,개,강원도 강릉시 성산면 내맬길 172  ,37.698788664,128.829276323,
강진군 유기견 보호소,061-430-3614,강진군 유기견 보호소,전라남도 강진군,개,전라남도 강진군 강진읍 초지길 109-62 (강진읍  강진군상하수도사업소) ,34.624814462,126.777397479,
강현림동물병원,02-2642-9159,강현림동물병원,서울특별시 양천구,개+고양이+기타,서울특별시 양천구 등촌로 160 (목동) 1층,37.54403479,126.862420091,
강현림동물병원,02-2642-9159,강현림동물병원,서울특별시 관악구,개+고양이+기타동물,서울특별시 양천구 등촌로 160 (목동) 1층,37.54403479,126.862420091,
거제시유기동물보호소,055-639-6368,거제시유기동물보호소,경상남도 거제시,개+고양이,경상남도 거제시 사등면 두동로1길 109 (사등면  한국자원재생공사폐비닐적재장) 거제시유기동물보호소,34.883767588,128.573667027,
경동동물병원,032-765-9988,경동동물병원,인천광역시 중구,개+고양이+기타,인천광역시 중구 개항로 68 (경동) ,37.471957668,126.629945155,
경동동물병원,032-765-9988,경동동물병원,인천광역시 동구,개+고양이,인천광역시 중구 개항로 68 (경동) 경동동물병원,37.472080,126.629850,
경산시유기동물보호소,***********,경산시유기동물보호소,경상북도 경산시,개+고양이,경상북도 경산시 용성면 사양지길 95 (용성면) ,35.778397404,128.88507783,
경주동물사랑보호센터,***********,경주동물사랑보호센터,경상북도 경주시,개+고양이+기타,경상북도 경주시 천북면 천북로 8-4  경주시 동물사랑보호센터,35.860817385,129.219656239,
계룡시유기동물보호소,***********,계룡시유기동물보호소,충청남도 계룡시,개+고양이,충청남도 계룡시 엄사면 천마로 12 ,36.280596192,127.241101792,
고성군유기동물보호소,055-670-4313,고성군유기동물보호소,경상남도 고성군,개+고양이,경상남도 고성군 고성읍 남해안대로 2829-60  고성군농업기술센터 동물보호센터,34.996820633,128.325379682,
고성군임시보호소,033-680-3724,고성군임시보호소,강원특별자치도 고성군,개,강원특별자치도 고성군 간성읍 오탑길 358-34  ,38.3502768,128.4693552,
고양시동물보호센터,031-962-3232,고양시동물보호센터,경기도 고양시,개+고양이+기타축종,경기도 고양시 덕양구 고양대로 1695 (원흥동  고양시 농업기술센터) 고양시동물보호센터,37.649779396,126.870084624,
고양이보호분양센터,055-650-6250,고양이보호분양센터,경상남도 통영시,고양이,경상남도 통영시 한산면 호두1길 351  공공형 고양이 보호분양센터,34.749978674,128.494097071,
고흥군임시보호센터,***********,고흥군임시보호센터,전라남도 고흥군,개,전라남도 고흥군 포두면 우주로 607 (포두면  소매점) ,34.570546459,127.341009873,
공주시 동물보호소,041-840-3495,공주시 동물보호소,충청남도 공주시,개+고양이+기타,충청남도 공주시 우성면 내산목천길 52-15  ,36.492871495,127.100073814,
광명반함센터,02-2680-5001,광명반함센터,경기도 광명시,개,경기도 광명시 오리로854번길 10 (철산동) 지하1층,37.4743690340,126.8684666721,
광양시 임시보호소,061-797-3386,광양시 임시보호소,전라남도 광양시,개+고양이+기타,전라남도 광양시 봉강면 인덕로 1169-20 (봉강면) 지곡리 864-24,34.988870019,127.57785957,
광주 동물보호소,062-571-2808,광주 동물보호소,광주광역시 동구,개+고양이+기타,광주광역시 북구 본촌마을길 27 (본촌동) 광주광역시 동물보호소,35.222584,126.881745,
광주 동물보호소,062-571-2808,광주 동물보호소,광주광역시 서구,개+고양이+기타,광주광역시 북구 본촌마을길 27 (본촌동) 광주광역시 동물보호소,35.222584,126.881745,
